date,ticker,close
2026-09-17,AEE,103.65
2026-09-17,HAL,34.0
2026-09-17,CFG,66.915
2026-09-17,TDY,604.31
2026-09-17,SYF,75.09
2026-09-17,FTS,54.38
2026-09-17,IR,71.4073
2026-09-17,STRD,71.9699
2026-09-17,CTSH,61.29
2026-09-17,FOXA,65.48
2026-09-17,ECHO,94.4
2026-09-17,CPRT,29.605
2026-09-17,ATO,161.86
2026-09-17,DG,123.85
2026-09-17,DGX,247.32
2026-09-17,SYM,45.0
2026-09-17,VRSN,300.5875
2026-09-17,AWK,136.45
2026-09-17,INSM,124.165
2026-09-17,DTE,130.19
2026-09-17,ZM,92.55
2026-09-17,STRK,70.0
2026-09-17,ON,68.69
2026-09-17,LVS,40.99
2026-09-17,VICI,24.11
2026-09-17,CPAY,403.8275
2026-09-17,SMCI,40.25
2026-09-17,OTIS,69.01
2026-09-17,FE,45.365
2026-09-17,FISV,49.36
2026-09-17,LH,322.37
2026-09-17,CPNG,14.505
2026-09-17,LPLA,330.54
2026-09-17,CINF,169.55
2026-09-17,WSM,220.51
2026-09-17,WRB,69.83
2026-09-17,WST,366.8
2026-09-17,ES,68.305
2026-09-17,GFS,46.06
2026-09-17,INCY,125.69
2026-09-17,DOV,189.07
2026-09-17,CNP,38.2425
2026-09-17,PFG,117.375
2026-09-17,PPL,33.3426
2026-09-17,XYL,107.285
2026-09-17,ATI,182.705
2026-09-17,FFIV,438.105
2026-09-17,FOX,58.725
2026-09-17,EXPD,188.43
2026-09-17,Q,116.83
2026-09-17,ASTS,62.7699
2026-09-17,AFRM,72.1
2026-09-17,RF,28.495
2026-09-17,GH,180.51
2026-09-17,TPL,350.185
2026-09-17,TW,101.57
2026-09-17,SN,168.42
2026-09-17,FWONK,94.595
2026-09-17,DRI,207.755
2026-09-17,TPR,118.615
2026-09-17,FCNCA,2090.11
2026-09-17,IOT,40.25
2026-09-17,PPG,105.745
2026-09-17,ULTA,545.13
2026-09-17,HUBB,438.74
2026-09-17,VLTO,94.67
2026-09-17,VRSK,176.77
2026-09-17,RIVN,15.88
2026-09-17,ROKU,154.41
2026-09-17,BG,118.09
2026-09-17,GPN,85.59
2026-09-17,CHD,95.46
2026-09-17,NRG,107.055
2026-09-17,JBHT,238.33
2026-09-17,PHM,119.17
2026-09-17,RBRK,107.34
2026-09-17,KEY,20.815
2026-09-17,MKL,1791.2
2026-09-17,L,108.18
2026-09-17,CASY,595.53
2026-09-17,TROW,103.05
2026-09-17,BRO,65.225
2026-09-17,IFF,85.1
2026-09-17,FWONA,86.555
2026-09-17,SOFI,16.8
2026-09-17,OMC,78.91
2026-09-17,SNX,267.755
2026-09-17,RGLD,252.485
2026-09-17,UTHR,497.57
2026-09-17,DOW,29.525
2026-09-17,DLTR,113.275
2026-09-17,SOJC,19.28
2026-09-17,EIX,54.89
2026-09-17,ARXS,50.585
2026-09-17,THC,261.71
2026-09-17,CRCL,82.7852
2026-09-17,CW,568.625
2026-09-17,FSLR,195.1801
2026-09-17,FICO,967.09
2026-09-17,STZ,122.3
2026-09-17,CDE,20.29
2026-09-17,PKG,232.495
2026-09-17,CMS,65.915
2026-09-17,RS,400.665
2026-09-17,XPO,174.59
2026-09-17,EXE,88.29
2026-09-17,ENTG,133.4175
2026-09-17,MTSI,266.195
2026-09-17,DINO,114.2
2026-09-17,STE,207.9575
2026-09-17,CF,133.86
2026-09-17,FTAI,196.82
2026-09-17,AQNB,26.27
2026-09-17,RL,338.15
2026-09-17,SOJD,18.25
2026-09-17,USFD,92.5275
2026-09-17,LUV,40.84
2026-09-17,BBY,94.48
2026-09-17,CRS,398.31
2026-09-17,VTRS,17.155
2026-09-17,GIS,36.625
2026-09-17,NI,40.72
2026-09-17,WES,46.91
2026-09-17,SNA,374.34
2026-09-17,PR,23.045
2026-09-17,SBAC,181.44
2026-09-17,EFX,162.04
2026-09-17,LEN,78.7427
2026-09-17,NTNX,69.82
2026-09-17,WWD,319.21
2026-09-17,BR,165.215
2026-09-17,FIS,36.425
2026-09-17,SSNC,79.825
2026-09-17,U,42.56
2026-09-17,CDW,149.535
2026-09-17,EVRG,80.785
2026-09-17,TSN,52.21
2026-09-17,GEN,30.565
2026-09-17,IP,34.4816
2026-09-17,ZBH,94.97
2026-09-17,NWS,33.39
2026-09-17,FDXF,120.815
2026-09-17,TOST,31.185
2026-09-17,GPC,130.74
2026-09-17,SITM,599.15
2026-09-17,SOJE,16.46
2026-09-17,PAA,25.5
2026-09-17,ITT,199.63
2026-09-17,CHRW,151.94
2026-09-17,TPG,46.86
2026-09-17,ESS,271.79
2026-09-17,DD,129.16
2026-09-17,NDSN,312.87
2026-09-17,EWBC,126.39
2026-09-17,MTZ,215.595
2026-09-17,MEDP,618.9225
2026-09-17,LNT,66.52
2026-09-17,TSCO,32.91
2026-09-17,J,144.19
2026-09-17,CLH,318.7
2026-09-17,NVR,6302.42
2026-09-17,BEN,32.94
2026-09-17,FTV,54.8795
2026-09-17,RVTY,148.415
2026-09-17,SMTC,177.3101
2026-09-17,WCC,337.42
2026-09-17,MKSI,242.42
2026-09-17,IEX,222.27
2026-09-17,LDOS,130.49
2026-09-17,DUKB,20.98
2026-09-17,NWSA,30.215
2026-09-17,ZBRA,343.955
2026-09-17,DT,56.26
2026-09-17,RGA,248.625
2026-09-17,BALL,61.18
2026-09-17,NLY,21.405
2026-09-17,SUN,78.7
2026-09-17,INVH,27.265
2026-09-17,ROL,33.17
2026-09-17,APG,36.91
2026-09-17,RBC,503.72
2026-09-17,OWL,10.185
2026-09-17,CRBG,35.5
2026-09-17,APA,45.095
2026-09-17,LSCC,110.78
2026-09-17,WY,21.755
2026-09-17,JLL,339.89
2026-09-17,AKAM,108.385
2026-09-17,VNOM,43.345
2026-09-17,DOCN,131.18
2026-09-17,CHTR,134.44
2026-09-17,NBIX,150.9
2026-09-17,IONQ,39.88
2026-09-17,ARMK,57.58
2026-09-17,STRL,495.97
2026-09-17,UNM,95.83
2026-09-17,KIM,22.53
2026-09-17,WPC,66.274
2026-09-17,HST,22.015
2026-09-17,SGI,65.42
2026-09-17,LAMR,147.865
2026-09-17,EQH,54.9
2026-09-17,H,158.45
2026-09-17,SOLV,87.64
2026-09-17,BURL,236.66
2026-09-17,WMG,28.145
2026-09-17,BMNR,24.35
2026-09-17,APOS,25.64
2026-09-17,LOGI,101.97
2026-09-17,CG,40.725
2026-09-17,TEM,79.49
2026-09-17,PNFP,95.41
2026-09-17,PFGC,91.4875
2026-09-17,QNT,54.66
2026-09-17,EXEL,57.72
2026-09-17,VLYPN,25.87
2026-09-17,OHI,47.15
2026-09-17,YUMC,41.64
2026-09-17,W,104.11
2026-09-17,DOC,20.63
2026-09-17,SMMT,17.8299
2026-09-17,ARCC,19.7701
2026-09-17,PTC,130.78
2026-09-17,PAG,216.095
2026-09-17,TLN,295.475
2026-09-17,MAA,121.735
2026-09-17,KKRS,15.73
2026-09-17,CACI,638.645
2026-09-17,SUI,115.67
2026-09-17,TRU,73.435
2026-09-17,TXT,81.5
2026-09-17,LECO,256.38
2026-09-17,AIZ,282.94
2026-09-17,TYL,340.625
2026-09-17,SLMBP,74.1
2026-09-17,VLYPP,25.06
2026-09-17,VLYPO,24.785
2026-09-17,SWK,89.96
2026-09-17,MKC,50.34
2026-09-17,ALB,114.35
2026-09-17,MAS,68.425
2026-09-17,BWXT,147.21
2026-09-17,CRL,281.655
2026-09-17,CET,55.5
2026-09-17,IVZ,30.3821
2026-09-17,TRMB,57.28
2026-09-17,REG,72.87
2026-09-17,MLI,60.305
2026-09-17,BBIO,68.155
2026-09-17,COKE,200.0
2026-09-17,GL,173.21
2026-09-17,SWKS,88.415
2026-09-17,DOCU,70.17
2026-09-17,SJM,122.75
2026-09-17,FIVE,237.67
2026-09-17,BWA,64.2
2026-09-17,AVY,172.0525
2026-09-17,ALLE,153.085
2026-09-17,CNA,47.9
2026-09-17,AUR,6.4537
2026-09-17,IESC,323.985
2026-09-17,HL,19.09
2026-09-17,ULS,63.34
2026-09-17,RPM,100.05
2026-09-17,DTM,124.55
2026-09-17,BMRN,65.54
2026-09-17,CSL,318.26
2026-09-17,WSO,305.91
2026-09-17,PEN,318.24
2026-09-17,HAS,88.85
2026-09-17,SREA,19.75
2026-09-17,SEIC,104.18
2026-09-17,AA,47.33
2026-09-17,AHR,53.355
2026-09-17,TOL,134.99
2026-09-17,LII,359.3825
2026-09-17,HALO,109.07
2026-09-17,ALLY,40.64
2026-09-17,GDDY,97.43
2026-09-17,TME,7.83
2026-09-17,DVA,193.085
2026-09-17,UHAL,63.365
2026-09-17,GGG,76.05
2026-09-17,ONTO,250.305
2026-09-17,MDGL,531.57
2026-09-17,FIG,23.015
2026-09-17,CORT,113.215
2026-09-17,MANH,209.64
2026-09-17,EHC,123.86
2026-09-17,TTMI,115.535
2026-09-17,NXT,80.18
2026-09-17,CSGP,30.0
2026-09-17,GNRC,205.725
2026-09-17,CCK,111.46
2026-09-17,QXO,11.645
2026-09-17,IT,190.38
2026-09-17,BAX,23.235
2026-09-17,CHYM,31.59
2026-09-17,ELS,61.32
2026-09-17,AMKR,47.88
2026-09-17,PSKY,10.585
2026-09-17,FROG,96.26
2026-09-17,AFG,143.02
2026-09-17,GWRE,144.48
2026-09-17,AGNC,9.9692
2026-09-17,WTS,353.66
2026-09-17,DKNG,23.695
2026-09-17,FNF,43.86
2026-09-17,BJ,92.93
2026-09-17,HUBS,235.365
2026-09-17,BTSG,59.245
2026-09-17,SAIL,20.445
2026-09-17,WTRG,41.08
2026-09-17,GLPI,40.035
2026-09-17,AIT,315.985
2026-09-17,PNW,95.375
2026-09-17,ELAN,22.96
2026-09-17,NYT,71.345
2026-09-17,CR,198.09
2026-09-17,HRL,20.775
2026-09-17,TECH,72.37
2026-09-17,HUT,91.985
2026-09-17,SF,74.87
2026-09-17,FHN,23.815
2026-09-17,AMH,31.395
2026-09-17,ERIE,243.72
2026-09-17,FPS,36.965
2026-09-17,GME,22.26
2026-09-17,BEPC,29.73
2026-09-17,AXSM,212.505
